title,company_name,location,salary_from,salary_to,currency,remote_type,seniority,industry,created_at
Specjalista ds. Obsługi Klienta,BPO Solutions,Warszawa,5000,6500,PLN,hybrid,mid,BPO,2025-06-15
Młodszy Analityk Finansowy,FinancePro,Kraków,4800,6000,PLN,remote,junior,BSS,2025-06-14
HR Business Partner,PeopleFirst,Wrocław,7000,9000,PLN,office,senior,BPO,2025-06-13
Specjalista ds. Rekrutacji,RecruitMe,Poznań,5500,7000,PLN,hybrid,mid,BSS,2025-06-12
Konsultant ds. IT,Tech4You,Gdańsk,8000,11000,PLN,remote,mid,BPO,2025-06-11
Specjalista ds. Kadr i Płac,Payroll Experts,Łódź,6000,7500,PLN,office,mid,BSS,2025-06-10
Team Leader Contact Center,CallPro,Katowice,6500,8500,PLN,hybrid,senior,BPO,2025-06-09
Junior Data Analyst,DataDriven,Lublin,5200,6700,PLN,remote,junior,BSS,2025-06-08
Specjalista ds. Wsparcia IT,IT Supporters,Szczecin,5700,7200,PLN,office,mid,BPO,2025-06-07
Księgowy,Accounting Masters,Rzeszów,6000,8000,PLN,hybrid,mid,BSS,2025-06-06
